DeviceID,PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
D82699,195,WP30105,0,E,1,C0D0F1T0,1,mm,a4_121820
D82699,1964,WP30105,0,E,1,C1D0F0T1,1,mm,a4_121820
D82699,8081,WP30105,0,E,1,C0D0F0T1,1,mm,a4_121820
D82699,5085,WP30105,0,E,1,C1D0F1T0,0,mm,a4_121820
D82699,12810,WP30105,0,E,1,C1D1F1T1,0,mm,a4_121820
D82699,12649,WP30105,0,E,1,C1D0F0T0,1,mm,a4_121820
D82699,6666,WP30105,0,E,1,C0D1F0T1,1,mm,a4_121820
D82699,1918,WP30105,0,E,1,C0D1F1T0,1,mm,a4_121820
D82699,8212,WP30105,0,E,1,C1D1F0T0,1,mm,a4_121820
D82699,242,WP30105,0,E,1,C0D1F1T1,2,mm,a4_121820
D82699,4829,WP30105,0,E,1,C0D1F0T0,1,mm,a4_121820
D82699,9647,WP30105,0,E,1,C0D0F1T1,1,mm,a4_121820
D82699,12792,WP30105,0,E,2,C1D1F0T0,0,mm,a4_121820
D82699,12738,WP30105,0,E,2,C0D0F0T1,0,mm,a4_121820
D82699,6560,WP30105,0,E,2,C0D0F1T1,0,mm,a4_121820
D82699,9651,WP30105,0,E,2,C0D1F1T0,0,mm,a4_121820
D82699,5080,WP30105,0,E,2,C1D0F1T0,1,mm,a4_121820
D82699,9457,WP30105,0,E,2,C0D1F0T0,0,mm,a4_121820
D82699,249,WP30105,0,E,2,C0D1F0T1,1,mm,a4_121820
D82699,18933,WP30105,0,E,2,C1D0F0T0,1,mm,a4_121820
D82699,3480,WP30105,0,E,2,C1D0F0T1,1,mm,a4_121820
D82699,8077,WP30105,0,E,2,C1D1F1T1,1,mm,a4_121820
D82699,7941,WP30105,0,E,2,C0D0F1T0,1,mm,a4_121820
D82699,6514,WP30105,0,E,2,C0D1F1T1,2,mm,a4_121820
D82699,3523,WP30105,0,E,3,C1D0F1T0,1,mm,a4_121820
D82699,16031,WP30105,0,E,3,C0D0F1T0,1,mm,a4_121820
D82699,18904,WP30105,0,E,3,C0D1F0T1,1,mm,a4_121820
D82699,3495,WP30105,0,E,3,C1D0F0T1,1,mm,a4_121820
D82699,18978,WP30105,0,E,3,C1D0F0T0,1,mm,a4_121820
D82699,1819,WP30105,0,E,3,C0D1F1T1,1,mm,a4_121820
D82699,225,WP30105,0,E,3,C1D1F0T0,1,mm,a4_121820
D82699,11213,WP30105,0,E,3,C1D1F1T1,1,mm,a4_121820
D82699,3451,WP30105,0,E,3,C0D0F0T1,1,mm,a4_121820
D82699,3466,WP30105,0,E,3,C0D0F1T1,1,mm,a4_121820
D82699,11093,WP30105,0,E,3,C0D1F1T0,1,mm,a4_121820
D82699,1627,WP30105,0,E,3,C0D1F0T0,1,mm,a4_121820
D82699,14241,WP30105,0,E,4,C0D0F1T0,1,mm,a4_121820
D82699,15891,WP30105,0,E,4,C0D1F1T0,1,mm,a4_121820
D82699,1867,WP30105,0,E,4,C0D0F1T1,0,mm,a4_121820
D82699,9663,WP30105,0,E,4,C0D0F0T1,1,mm,a4_121820
D82699,1746,WP30105,0,E,4,C1D1F1T1,1,mm,a4_121820
D82699,12819,WP30105,0,E,4,C0D1F0T0,1,mm,a4_121820
D82699,19247,WP30105,0,E,4,C1D0F0T0,1,mm,a4_121820
D82699,12832,WP30105,0,E,4,C0D1F1T1,1,mm,a4_121820
D82699,9673,WP30105,0,E,4,C1D0F1T0,1,mm,a4_121820
D82699,9718,WP30105,0,E,4,C1D0F0T1,1,mm,a4_121820
D82699,9676,WP30105,0,E,4,C1D1F0T0,1,mm,a4_121820
D82699,19168,WP30105,0,E,4,C0D1F0T1,0,mm,a4_121820
D82699,16180,WP30105,0,E,5,C1D0F0T0,1,mm,a4_121820
D82699,17673,WP30105,0,E,5,C0D1F0T1,1,mm,a4_121820
D82699,15980,WP30105,0,E,5,C0D1F1T1,1,mm,a4_121820
D82699,14287,WP30105,0,E,5,C0D0F1T0,1,mm,a4_121820
D82699,4945,WP30105,0,E,5,C1D1F0T0,1,mm,a4_121820
D82699,19005,WP30105,0,E,5,C0D1F1T0,1,mm,a4_121820
D82699,7927,WP30105,0,E,5,C1D1F1T1,1,mm,a4_121820
D82699,11270,WP30105,0,E,5,C1D0F0T1,1,mm,a4_121820
D82699,6484,WP30105,0,E,5,C0D0F1T1,1,mm,a4_121820
D82699,9602,WP30105,0,E,5,C1D0F1T0,1,mm,a4_121820
D82699,1793,WP30105,0,E,5,C0D0F0T1,1,mm,a4_121820
D82699,16142,WP30105,0,E,5,C0D1F0T0,1,mm,a4_121820
D82699,1795,WP30105,0,E,6,C0D0F1T1,0,mm,a4_121820
D82699,19184,WP30105,0,E,6,C0D1F1T1,1,mm,a4_121820
